"nome_proposto","categoria","subcategoria","menu_onde_vai_aparecer","musculos_zona_articulacao","equipamento","local","motivo_da_necessidade","lacuna_que_resolve","prioridade","risco_de_duplicacao","tipo_de_inclusao","depende_de_aprovacao_humana","quando_pode_ser_adicionado"
"alongamento cadeia posterior - isquiotibiais - proposta 013","elasticidade","alongamento cadeia posterior","Elasticidade > Casa","isquiotibiais","wall","casa","fecha lacunas por zona corporal","zona corporal","P1","baixo","essencial","nao","v0.9.9B"
"alongamento flexores da anca - flexores da anca - proposta 014","elasticidade","alongamento flexores da anca","Elasticidade > Pós-treino","flexores da anca","bench","ginásio","melhora opções de pós-treino","regressão","P1","baixo","essencial","nao","v0.9.9B"
"alongamento peitoral - peitoral - proposta 015","elasticidade","alongamento peitoral","Elasticidade > Recuperação","peitoral","mat","dojo","cria regressões para iniciantes","pós-treino","P1","baixo","essencial","nao","v0.9.9B"
"alongamento gémeos - gémeos - proposta 016","elasticidade","alongamento gémeos","Elasticidade > Casa","gémeos","nenhum","casa","fecha lacunas por zona corporal","zona corporal","P1","baixo","essencial","nao","v0.9.9B"
"alongamento adutores - adutores - proposta 017","elasticidade","alongamento adutores","Elasticidade > Pós-treino","adutores","strap","ginásio","melhora opções de pós-treino","regressão","P1","baixo","essencial","nao","v0.9.9B"
"alongamento ombro - ombro - proposta 018","elasticidade","alongamento ombro","Elasticidade > Recuperação","ombro","wall","dojo","cria regressões para iniciantes","pós-treino","P1","baixo","essencial","nao","v0.9.9B"
"alongamento cadeia posterior - isquiotibiais - proposta 019","elasticidade","alongamento cadeia posterior","Elasticidade > Casa","isquiotibiais","bench","casa","fecha lacunas por zona corporal","zona corporal","P1","baixo","essencial","nao","v0.9.9B"
"alongamento flexores da anca - flexores da anca - proposta 020","elasticidade","alongamento flexores da anca","Elasticidade > Pós-treino","flexores da anca","mat","ginásio","melhora opções de pós-treino","regressão","P1","baixo","essencial","nao","v0.9.9B"
"alongamento peitoral - peitoral - proposta 021","elasticidade","alongamento peitoral","Elasticidade > Recuperação","peitoral","nenhum","dojo","cria regressões para iniciantes","pós-treino","P2","baixo","expansao_futura","nao","v1.0_backlog"
"alongamento gémeos - gémeos - proposta 022","elasticidade","alongamento gémeos","Elasticidade > Casa","gémeos","strap","casa","fecha lacunas por zona corporal","zona corporal","P2","baixo","expansao_futura","nao","v1.0_backlog"
"alongamento adutores - adutores - proposta 023","elasticidade","alongamento adutores","Elasticidade > Pós-treino","adutores","wall","ginásio","melhora opções de pós-treino","regressão","P2","baixo","expansao_futura","nao","v1.0_backlog"
"alongamento ombro - ombro - proposta 024","elasticidade","alongamento ombro","Elasticidade > Recuperação","ombro","bench","dojo","cria regressões para iniciantes","pós-treino","P2","baixo","expansao_futura","nao","v1.0_backlog"
"alongamento cadeia posterior - isquiotibiais - proposta 025","elasticidade","alongamento cadeia posterior","Elasticidade > Casa","isquiotibiais","mat","casa","fecha lacunas por zona corporal","zona corporal","P2","baixo","expansao_futura","nao","v1.0_backlog"
"alongamento flexores da anca - flexores da anca - proposta 026","elasticidade","alongamento flexores da anca","Elasticidade > Pós-treino","flexores da anca","nenhum","ginásio","melhora opções de pós-treino","regressão","P2","baixo","expansao_futura","nao","v1.0_backlog"
"alongamento peitoral - peitoral - proposta 027","elasticidade","alongamento peitoral","Elasticidade > Recuperação","peitoral","strap","dojo","cria regressões para iniciantes","pós-treino","P2","baixo","expansao_futura","nao","v1.0_backlog"
"alongamento gémeos - gémeos - proposta 028","elasticidade","alongamento gémeos","Elasticidade > Casa","gémeos","wall","casa","fecha lacunas por zona corporal","zona corporal","P2","baixo","expansao_futura","nao","v1.0_backlog"
"respiração recuperação - respiração/diafragma - proposta 001","recuperacao","respiração recuperação","Recuperação > Casa","respiração/diafragma","nenhum","casa","melhora recuperação orientada por região","recuperação regional","P0","baixo","essencial","nao","v0.9.9B"
"libertação miofascial - lombar - proposta 002","recuperacao","libertação miofascial","Recuperação > Pós-treino","lombar","foam_roller","ginásio","substitui avisos genéricos por escolhas úteis","baixo impacto","P0","baixo","essencial","nao","v0.9.9B"
"descarga lombar - quadríceps - proposta 003","recuperacao","descarga lombar","Recuperação > Baixa intensidade","quadríceps","ball","casa","apoia iniciantes após treino","pós-treino","P0","baixo","essencial","nao","v0.9.9B"
"recuperação pernas - gémeos - proposta 004","recuperacao","recuperação pernas","Recuperação > Casa","gémeos","mat","ginásio","melhora recuperação orientada por região","recuperação regional","P0","baixo","essencial","nao","v0.9.9B"
"recuperação ombros - ombros - proposta 005","recuperacao","recuperação ombros","Recuperação > Pós-treino","ombros","nenhum","casa","substitui avisos genéricos por escolhas úteis","baixo impacto","P0","baixo","essencial","nao","v0.9.9B"
"respiração recuperação - respiração/diafragma - proposta 006","recuperacao","respiração recuperação","Recuperação > Baixa intensidade","respiração/diafragma","foam_roller","ginásio","apoia iniciantes após treino","pós-treino","P0","baixo","essencial","nao","v0.9.9B"
"libertação miofascial - lombar - proposta 007","recuperacao","libertação miofascial","Recuperação > Casa","lombar","ball","casa","melhora recuperação orientada por região","recuperação regional","P0","baixo","essencial","nao","v0.9.9B"
"descarga lombar - quadríceps - proposta 008","recuperacao","descarga lombar","Recuperação > Pós-treino","quadríceps","mat","ginásio","substitui avisos genéricos por escolhas úteis","baixo impacto","P1","baixo","essencial","nao","v0.9.9B"
"recuperação pernas - gémeos - proposta 009","recuperacao","recuperação pernas","Recuperação > Baixa intensidade","gémeos","nenhum","casa","apoia iniciantes após treino","pós-treino","P1","baixo","essencial","nao","v0.9.9B"
"recuperação ombros - ombros - proposta 010","recuperacao","recuperação ombros","Recuperação > Casa","ombros","foam_roller","ginásio","melhora recuperação orientada por região","recuperação regional","P1","baixo","essencial","nao","v0.9.9B"
"respiração recuperação - respiração/diafragma - proposta 011","recuperacao","respiração recuperação","Recuperação > Pós-treino","respiração/diafragma","ball","casa","substitui avisos genéricos por escolhas úteis","baixo impacto","P1","baixo","essencial","nao","v0.9.9B"
"libertação miofascial - lombar - proposta 012","recuperacao","libertação miofascial","Recuperação > Baixa intensidade","lombar","mat","ginásio","apoia iniciantes após treino","pós-treino","P1","baixo","essencial","nao","v0.9.9B"
"descarga lombar - quadríceps - proposta 013","recuperacao","descarga lombar","Recuperação > Casa","quadríceps","nenhum","casa","melhora recuperação orientada por região","recuperação regional","P1","baixo","essencial","nao","v0.9.9B"
"recuperação pernas - gémeos - proposta 014","recuperacao","recuperação pernas","Recuperação > Pós-treino","gémeos","foam_roller","ginásio","substitui avisos genéricos por escolhas úteis","baixo impacto","P1","baixo","essencial","nao","v0.9.9B"
"recuperação ombros - ombros - proposta 015","recuperacao","recuperação ombros","Recuperação > Baixa intensidade","ombros","ball","casa","apoia iniciantes após treino","pós-treino","P2","baixo","expansao_futura","nao","v1.0_backlog"
"respiração recuperação - respiração/diafragma - proposta 016","recuperacao","respiração recuperação","Recuperação > Casa","respiração/diafragma","mat","ginásio","melhora recuperação orientada por região","recuperação regional","P2","baixo","expansao_futura","nao","v1.0_backlog"
"libertação miofascial - lombar - proposta 017","recuperacao","libertação miofascial","Recuperação > Pós-treino","lombar","nenhum","casa","substitui avisos genéricos por escolhas úteis","baixo impacto","P2","baixo","expansao_futura","nao","v1.0_backlog"
"descarga lombar - quadríceps - proposta 018","recuperacao","descarga lombar","Recuperação > Baixa intensidade","quadríceps","foam_roller","ginásio","apoia iniciantes após treino","pós-treino","P2","baixo","expansao_futura","nao","v1.0_backlog"
"aquecimento geral - corpo inteiro - proposta 001","aquecimento","aquecimento geral","Aquecimento > Geral","corpo inteiro","nenhum","casa","completa lacunas finais de preparação","preparação","P0","baixo","essencial","nao","v0.9.9B"
"aquecimento ombro - ombro - proposta 002","aquecimento","aquecimento ombro","Aquecimento > Musculação","ombro","mini_band","ginásio","liga aquecimento ao treino escolhido","contexto","P0","baixo","essencial","nao","v0.9.9B"
"aquecimento anca - anca - proposta 003","aquecimento","aquecimento anca","Aquecimento > Artes marciais","anca","stick","dojo","reduz entrada a frio em treino técnico","segurança","P0","baixo","essencial","nao","v0.9.9B"
"aquecimento joelho - joelho - proposta 004","aquecimento","aquecimento joelho","Aquecimento > Geral","joelho","nenhum","casa","completa lacunas finais de preparação","preparação","P0","baixo","essencial","nao","v0.9.9B"
"aquecimento marcial - deslocamento - proposta 005","aquecimento","aquecimento marcial","Aquecimento > Musculação","deslocamento","mini_band","ginásio","liga aquecimento ao treino escolhido","contexto","P0","baixo","essencial","nao","v0.9.9B"
"aquecimento geral - corpo inteiro - proposta 006","aquecimento","aquecimento geral","Aquecimento > Artes marciais","corpo inteiro","stick","dojo","reduz entrada a frio em treino técnico","segurança","P1","baixo","essencial","nao","v0.9.9B"
"aquecimento ombro - ombro - proposta 007","aquecimento","aquecimento ombro","Aquecimento > Geral","ombro","nenhum","casa","completa lacunas finais de preparação","preparação","P1","baixo","essencial","nao","v0.9.9B"
"aquecimento anca - anca - proposta 008","aquecimento","aquecimento anca","Aquecimento > Musculação","anca","mini_band","ginásio","liga aquecimento ao treino escolhido","contexto","P1","baixo","essencial","nao","v0.9.9B"
"aquecimento joelho - joelho - proposta 009","aquecimento","aquecimento joelho","Aquecimento > Artes marciais","joelho","stick","dojo","reduz entrada a frio em treino técnico","segurança","P1","baixo","essencial","nao","v0.9.9B"
"ativação glúteos - glúteos/anca - proposta 001","ativacao","ativação glúteos","Ativação > Pré-treino","glúteos/anca","nenhum","casa","categoria está abaixo da meta mínima","pré-ativação","P0","baixo","essencial","sim","apos_aprovacao_humana"
"ativação core - core/coluna - proposta 002","ativacao","ativação core","Ativação > Casa","core/coluna","mini_band","ginásio","melhora segurança antes de força e artes marciais","articulação","P0","baixo","essencial","sim","apos_aprovacao_humana"
"ativação escápulas - escápulas/ombro - proposta 003","ativacao","ativação escápulas","Ativação > Reabilitação leve","escápulas/ombro","wall","dojo","cobre articulações pequenas com opções leves","prevenção secundária","P0","baixo","essencial","sim","apos_aprovacao_humana"
"ativação adutores - adutores - proposta 004","ativacao","ativação adutores","Ativação > Pré-treino","adutores","ball","casa","categoria está abaixo da meta mínima","pré-ativação","P0","baixo","essencial","sim","apos_aprovacao_humana"
"ativação anca - tornozelo - proposta 005","ativacao","ativação anca","Ativação > Casa","tornozelo","towel","ginásio","melhora segurança antes de força e artes marciais","articulação","P0","baixo","essencial","nao","v0.9.9B"
"ativação tornozelo - punho - proposta 006","ativacao","ativação tornozelo","Ativação > Reabilitação leve","punho","nenhum","dojo","cobre articulações pequenas com opções leves","prevenção secundária","P0","baixo","essencial","nao","v0.9.9B"
"ativação punho - pescoço - proposta 007","ativacao","ativação punho","Ativação > Pré-treino","pescoço","mini_band","casa","categoria está abaixo da meta mínima","pré-ativação","P0","baixo","essencial","nao","v0.9.9B"
"ativação pescoço - glúteos/anca - proposta 008","ativacao","ativação pescoço","Ativação > Casa","glúteos/anca","wall","ginásio","melhora segurança antes de força e artes marciais","articulação","P0","baixo","essencial","nao","v0.9.9B"
"ativação glúteos - core/coluna - proposta 009","ativacao","ativação glúteos","Ativação > Reabilitação leve","core/coluna","ball","dojo","cobre articulações pequenas com opções leves","prevenção secundária","P0","baixo","essencial","nao","v0.9.9B"
"ativação core - escápulas/ombro - proposta 010","ativacao","ativação core","Ativação > Pré-treino","escápulas/ombro","towel","casa","categoria está abaixo da meta mínima","pré-ativação","P0","baixo","essencial","nao","v0.9.9B"
"ativação escápulas - adutores - proposta 011","ativacao","ativação escápulas","Ativação > Casa","adutores","nenhum","ginásio","melhora segurança antes de força e artes marciais","articulação","P0","baixo","essencial","nao","v0.9.9B"
"ativação adutores - tornozelo - proposta 012","ativacao","ativação adutores","Ativação > Reabilitação leve","tornozelo","mini_band","dojo","cobre articulações pequenas com opções leves","prevenção secundária","P0","baixo","essencial","nao","v0.9.9B"
"ativação anca - punho - proposta 013","ativacao","ativação anca","Ativação > Pré-treino","punho","wall","casa","categoria está abaixo da meta mínima","pré-ativação","P0","baixo","essencial","nao","v0.9.9B"
"ativação tornozelo - pescoço - proposta 014","ativacao","ativação tornozelo","Ativação > Casa","pescoço","ball","ginásio","melhora segurança antes de força e artes marciais","articulação","P0","baixo","essencial","nao","v0.9.9B"
"ativação punho - glúteos/anca - proposta 015","ativacao","ativação punho","Ativação > Reabilitação leve","glúteos/anca","towel","dojo","cobre articulações pequenas com opções leves","prevenção secundária","P0","baixo","essencial","nao","v0.9.9B"
"ativação pescoço - core/coluna - proposta 016","ativacao","ativação pescoço","Ativação > Pré-treino","core/coluna","nenhum","casa","categoria está abaixo da meta mínima","pré-ativação","P0","baixo","essencial","nao","v0.9.9B"
"ativação glúteos - escápulas/ombro - proposta 017","ativacao","ativação glúteos","Ativação > Casa","escápulas/ombro","mini_band","ginásio","melhora segurança antes de força e artes marciais","articulação","P1","baixo","essencial","nao","v0.9.9B"
"ativação core - adutores - proposta 018","ativacao","ativação core","Ativação > Reabilitação leve","adutores","wall","dojo","cobre articulações pequenas com opções leves","prevenção secundária","P1","baixo","essencial","nao","v0.9.9B"
"ativação escápulas - tornozelo - proposta 019","ativacao","ativação escápulas","Ativação > Pré-treino","tornozelo","ball","casa","categoria está abaixo da meta mínima","pré-ativação","P1","baixo","essencial","nao","v0.9.9B"
"ativação adutores - punho - proposta 020","ativacao","ativação adutores","Ativação > Casa","punho","towel","ginásio","melhora segurança antes de força e artes marciais","articulação","P1","baixo","essencial","nao","v0.9.9B"
"ativação anca - pescoço - proposta 021","ativacao","ativação anca","Ativação > Reabilitação leve","pescoço","nenhum","dojo","cobre articulações pequenas com opções leves","prevenção secundária","P1","baixo","essencial","nao","v0.9.9B"
"ativação tornozelo - glúteos/anca - proposta 022","ativacao","ativação tornozelo","Ativação > Pré-treino","glúteos/anca","mini_band","casa","categoria está abaixo da meta mínima","pré-ativação","P1","baixo","essencial","nao","v0.9.9B"
"ativação punho - core/coluna - proposta 023","ativacao","ativação punho","Ativação > Casa","core/coluna","wall","ginásio","melhora segurança antes de força e artes marciais","articulação","P1","baixo","essencial","nao","v0.9.9B"
"ativação pescoço - escápulas/ombro - proposta 024","ativacao","ativação pescoço","Ativação > Reabilitação leve","escápulas/ombro","ball","dojo","cobre articulações pequenas com opções leves","prevenção secundária","P1","baixo","essencial","nao","v0.9.9B"
"ativação glúteos - adutores - proposta 025","ativacao","ativação glúteos","Ativação > Pré-treino","adutores","towel","casa","categoria está abaixo da meta mínima","pré-ativação","P1","baixo","essencial","nao","v0.9.9B"
"ativação core - tornozelo - proposta 026","ativacao","ativação core","Ativação > Casa","tornozelo","nenhum","ginásio","melhora segurança antes de força e artes marciais","articulação","P1","baixo","essencial","nao","v0.9.9B"
"ativação escápulas - punho - proposta 027","ativacao","ativação escápulas","Ativação > Reabilitação leve","punho","mini_band","dojo","cobre articulações pequenas com opções leves","prevenção secundária","P1","baixo","essencial","nao","v0.9.9B"
"ativação adutores - pescoço - proposta 028","ativacao","ativação adutores","Ativação > Pré-treino","pescoço","wall","casa","categoria está abaixo da meta mínima","pré-ativação","P1","baixo","essencial","nao","v0.9.9B"
"ativação anca - glúteos/anca - proposta 029","ativacao","ativação anca","Ativação > Casa","glúteos/anca","ball","ginásio","melhora segurança antes de força e artes marciais","articulação","P1","baixo","essencial","nao","v0.9.9B"
"ativação tornozelo - core/coluna - proposta 030","ativacao","ativação tornozelo","Ativação > Reabilitação leve","core/coluna","towel","dojo","cobre articulações pequenas com opções leves","prevenção secundária","P1","baixo","essencial","nao","v0.9.9B"
"ativação punho - escápulas/ombro - proposta 031","ativacao","ativação punho","Ativação > Pré-treino","escápulas/ombro","nenhum","casa","categoria está abaixo da meta mínima","pré-ativação","P1","baixo","essencial","nao","v0.9.9B"
"ativação pescoço - adutores - proposta 032","ativacao","ativação pescoço","Ativação > Casa","adutores","mini_band","ginásio","melhora segurança antes de força e artes marciais","articulação","P1","baixo","essencial","nao","v0.9.9B"
"ativação glúteos - tornozelo - proposta 033","ativacao","ativação glúteos","Ativação > Reabilitação leve","tornozelo","wall","dojo","cobre articulações pequenas com opções leves","prevenção secundária","P1","baixo","essencial","nao","v0.9.9B"
"ativação core - punho - proposta 034","ativacao","ativação core","Ativação > Pré-treino","punho","ball","casa","categoria está abaixo da meta mínima","pré-ativação","P1","baixo","essencial","nao","v0.9.9B"
"ativação escápulas - pescoço - proposta 035","ativacao","ativação escápulas","Ativação > Casa","pescoço","towel","ginásio","melhora segurança antes de força e artes marciais","articulação","P1","baixo","essencial","nao","v0.9.9B"
"ativação adutores - glúteos/anca - proposta 036","ativacao","ativação adutores","Ativação > Reabilitação leve","glúteos/anca","nenhum","dojo","cobre articulações pequenas com opções leves","prevenção secundária","P2","baixo","expansao_futura","nao","v1.0_backlog"
"ativação anca - core/coluna - proposta 037","ativacao","ativação anca","Ativação > Pré-treino","core/coluna","mini_band","casa","categoria está abaixo da meta mínima","pré-ativação","P2","baixo","expansao_futura","nao","v1.0_backlog"
"ativação tornozelo - escápulas/ombro - proposta 038","ativacao","ativação tornozelo","Ativação > Casa","escápulas/ombro","wall","ginásio","melhora segurança antes de força e artes marciais","articulação","P2","baixo","expansao_futura","nao","v1.0_backlog"
"prevenção joelho - joelho - proposta 001","prevencao","prevenção joelho","Prevenção > Casa","joelho","nenhum","casa","categoria mais abaixo da meta relativa","articulação crítica","P0","baixo","essencial","sim","apos_aprovacao_humana"
"prevenção ombro - ombro - proposta 002","prevencao","prevenção ombro","Prevenção > Ginásio","ombro","mini_band","ginásio","reduz buracos em articulações visíveis","segurança","P0","baixo","essencial","sim","apos_aprovacao_humana"
"prevenção lombar - lombar - proposta 003","prevencao","prevenção lombar","Prevenção > Pré-habilitação","lombar","wall","casa","cria alternativas leves e seguras","pré-habilitação","P0","baixo","essencial","sim","apos_aprovacao_humana"
"prevenção tornozelo - tornozelo - proposta 004","prevencao","prevenção tornozelo","Prevenção > Casa","tornozelo","towel","ginásio","categoria mais abaixo da meta relativa","articulação crítica","P0","baixo","essencial","sim","apos_aprovacao_humana"
"prevenção punho - punho - proposta 005","prevencao","prevenção punho","Prevenção > Ginásio","punho","light_dumbbell","casa","reduz buracos em articulações visíveis","segurança","P0","baixo","essencial","sim","apos_aprovacao_humana"
"prevenção pescoço - pescoço - proposta 006","prevencao","prevenção pescoço","Prevenção > Pré-habilitação","pescoço","nenhum","ginásio","cria alternativas leves e seguras","pré-habilitação","P0","baixo","essencial","sim","apos_aprovacao_humana"
"prevenção anca - anca - proposta 007","prevencao","prevenção anca","Prevenção > Casa","anca","mini_band","casa","categoria mais abaixo da meta relativa","articulação crítica","P0","baixo","essencial","sim","apos_aprovacao_humana"
"prevenção cotovelo - cotovelo - proposta 008","prevencao","prevenção cotovelo","Prevenção > Ginásio","cotovelo","wall","ginásio","reduz buracos em articulações visíveis","segurança","P0","baixo","essencial","sim","apos_aprovacao_humana"
"prevenção joelho - joelho - proposta 009","prevencao","prevenção joelho","Prevenção > Pré-habilitação","joelho","towel","casa","cria alternativas leves e seguras","pré-habilitação","P0","baixo","essencial","nao","v0.9.9B"
"prevenção ombro - ombro - proposta 010","prevencao","prevenção ombro","Prevenção > Casa","ombro","light_dumbbell","ginásio","categoria mais abaixo da meta relativa","articulação crítica","P0","baixo","essencial","nao","v0.9.9B"
"prevenção lombar - lombar - proposta 011","prevencao","prevenção lombar","Prevenção > Ginásio","lombar","nenhum","casa","reduz buracos em articulações visíveis","segurança","P0","baixo","essencial","nao","v0.9.9B"
"prevenção tornozelo - tornozelo - proposta 012","prevencao","prevenção tornozelo","Prevenção > Pré-habilitação","tornozelo","mini_band","ginásio","cria alternativas leves e seguras","pré-habilitação","P0","baixo","essencial","nao","v0.9.9B"
"prevenção punho - punho - proposta 013","prevencao","prevenção punho","Prevenção > Casa","punho","wall","casa","categoria mais abaixo da meta relativa","articulação crítica","P0","baixo","essencial","nao","v0.9.9B"
"prevenção pescoço - pescoço - proposta 014","prevencao","prevenção pescoço","Prevenção > Ginásio","pescoço","towel","ginásio","reduz buracos em articulações visíveis","segurança","P0","baixo","essencial","nao","v0.9.9B"
"prevenção anca - anca - proposta 015","prevencao","prevenção anca","Prevenção > Pré-habilitação","anca","light_dumbbell","casa","cria alternativas leves e seguras","pré-habilitação","P0","baixo","essencial","nao","v0.9.9B"
"prevenção cotovelo - cotovelo - proposta 016","prevencao","prevenção cotovelo","Prevenção > Casa","cotovelo","nenhum","ginásio","categoria mais abaixo da meta relativa","articulação crítica","P1","baixo","essencial","nao","v0.9.9B"
"prevenção joelho - joelho - proposta 017","prevencao","prevenção joelho","Prevenção > Ginásio","joelho","mini_band","casa","reduz buracos em articulações visíveis","segurança","P1","baixo","essencial","nao","v0.9.9B"
"prevenção ombro - ombro - proposta 018","prevencao","prevenção ombro","Prevenção > Pré-habilitação","ombro","wall","ginásio","cria alternativas leves e seguras","pré-habilitação","P1","baixo","essencial","nao","v0.9.9B"
"prevenção lombar - lombar - proposta 019","prevencao","prevenção lombar","Prevenção > Casa","lombar","towel","casa","categoria mais abaixo da meta relativa","articulação crítica","P1","baixo","essencial","nao","v0.9.9B"
"prevenção tornozelo - tornozelo - proposta 020","prevencao","prevenção tornozelo","Prevenção > Ginásio","tornozelo","light_dumbbell","ginásio","reduz buracos em articulações visíveis","segurança","P1","baixo","essencial","nao","v0.9.9B"
"prevenção punho - punho - proposta 021","prevencao","prevenção punho","Prevenção > Pré-habilitação","punho","nenhum","casa","cria alternativas leves e seguras","pré-habilitação","P1","baixo","essencial","nao","v0.9.9B"
"prevenção pescoço - pescoço - proposta 022","prevencao","prevenção pescoço","Prevenção > Casa","pescoço","mini_band","ginásio","categoria mais abaixo da meta relativa","articulação crítica","P1","baixo","essencial","nao","v0.9.9B"
"prevenção anca - anca - proposta 023","prevencao","prevenção anca","Prevenção > Ginásio","anca","wall","casa","reduz buracos em articulações visíveis","segurança","P1","baixo","essencial","nao","v0.9.9B"
"prevenção cotovelo - cotovelo - proposta 024","prevencao","prevenção cotovelo","Prevenção > Pré-habilitação","cotovelo","towel","ginásio","cria alternativas leves e seguras","pré-habilitação","P1","baixo","essencial","nao","v0.9.9B"
"prevenção joelho - joelho - proposta 025","prevencao","prevenção joelho","Prevenção > Casa","joelho","light_dumbbell","casa","categoria mais abaixo da meta relativa","articulação crítica","P1","baixo","essencial","nao","v0.9.9B"
"prevenção ombro - ombro - proposta 026","prevencao","prevenção ombro","Prevenção > Ginásio","ombro","nenhum","ginásio","reduz buracos em articulações visíveis","segurança","P1","baixo","essencial","nao","v0.9.9B"
"prevenção lombar - lombar - proposta 027","prevencao","prevenção lombar","Prevenção > Pré-habilitação","lombar","mini_band","casa","cria alternativas leves e seguras","pré-habilitação","P1","baixo","essencial","nao","v0.9.9B"
"prevenção tornozelo - tornozelo - proposta 028","prevencao","prevenção tornozelo","Prevenção > Casa","tornozelo","wall","ginásio","categoria mais abaixo da meta relativa","articulação crítica","P1","baixo","essencial","nao","v0.9.9B"
"prevenção punho - punho - proposta 029","prevencao","prevenção punho","Prevenção > Ginásio","punho","towel","casa","reduz buracos em articulações visíveis","segurança","P1","baixo","essencial","nao","v0.9.9B"
"prevenção pescoço - pescoço - proposta 030","prevencao","prevenção pescoço","Prevenção > Pré-habilitação","pescoço","light_dumbbell","ginásio","cria alternativas leves e seguras","pré-habilitação","P1","baixo","essencial","nao","v0.9.9B"
"prevenção anca - anca - proposta 031","prevencao","prevenção anca","Prevenção > Casa","anca","nenhum","casa","categoria mais abaixo da meta relativa","articulação crítica","P1","baixo","essencial","nao","v0.9.9B"
"prevenção cotovelo - cotovelo - proposta 032","prevencao","prevenção cotovelo","Prevenção > Ginásio","cotovelo","mini_band","ginásio","reduz buracos em articulações visíveis","segurança","P1","baixo","essencial","nao","v0.9.9B"
"prevenção joelho - joelho - proposta 033","prevencao","prevenção joelho","Prevenção > Pré-habilitação","joelho","wall","casa","cria alternativas leves e seguras","pré-habilitação","P2","baixo","expansao_futura","nao","v1.0_backlog"
"prevenção ombro - ombro - proposta 034","prevencao","prevenção ombro","Prevenção > Casa","ombro","towel","ginásio","categoria mais abaixo da meta relativa","articulação crítica","P2","baixo","expansao_futura","nao","v1.0_backlog"
"prevenção lombar - lombar - proposta 035","prevencao","prevenção lombar","Prevenção > Ginásio","lombar","light_dumbbell","casa","reduz buracos em articulações visíveis","segurança","P2","baixo","expansao_futura","nao","v1.0_backlog"
"prevenção tornozelo - tornozelo - proposta 036","prevencao","prevenção tornozelo","Prevenção > Pré-habilitação","tornozelo","nenhum","ginásio","cria alternativas leves e seguras","pré-habilitação","P2","baixo","expansao_futura","nao","v1.0_backlog"
